MAPE,caule_dx_frac_w,dup_dist_frac_h,grupo_dist_cap_h,idx,imagem,predicoes,stem_frag_w_frac,stem_narrow_w_frac
11.924908424908425,0.015,0.015,0.085,104,D:\Visao\Projeto1\Guido\grid_folhas_finais\ciclo1_inicial\grid_ciclo1_0104.png,"[14, 11, 4, 13, 11, 15, 9, 17, 17, 4]",0.026,0.032
11.924908424908425,0.015,0.025,0.085,106,D:\Visao\Projeto1\Guido\grid_folhas_finais\ciclo1_inicial\grid_ciclo1_0106.png,"[14, 11, 4, 13, 11, 15, 9, 17, 17, 4]",0.026,0.032
11.97069597069597,0.008,0.035,0.085,36,D:\Visao\Projeto1\Guido\grid_folhas_finais\ciclo1_inicial\grid_ciclo1_0036.png,"[13, 9, 4, 13, 11, 15, 9, 18, 15, 4]",0.026,0.032
12.075091575091577,0.01,0.035,0.085,66,D:\Visao\Projeto1\Guido\grid_folhas_finais\ciclo1_inicial\grid_ciclo1_0066.png,"[13, 12, 4, 14, 11, 15, 9, 19, 18, 4]",0.018,0.032
12.202686202686202,0.01,0.035,0.085,72,D:\Visao\Projeto1\Guido\grid_folhas_finais\ciclo1_inicial\grid_ciclo1_0072.png,"[13, 12, 4, 13, 11, 15, 8, 18, 17, 4]",0.026,0.032
12.324841824841823,0.008,0.035,0.085,12,D:\Visao\Projeto1\Guido\grid_folhas_finais\ciclo1_inicial\grid_ciclo1_0012.png,"[13, 10, 4, 14, 12, 15, 9, 18, 16, 4]",0.026,0.02
12.324841824841823,0.008,0.035,0.085,24,D:\Visao\Projeto1\Guido\grid_folhas_finais\ciclo1_inicial\grid_ciclo1_0024.png,"[13, 10, 4, 14, 12, 15, 9, 18, 16, 4]",0.026,0.025
12.333999333999335,0.015,0.015,0.085,92,D:\Visao\Projeto1\Guido\grid_folhas_finais\ciclo1_inicial\grid_ciclo1_0092.png,"[14, 11, 4, 14, 12, 15, 9, 17, 17, 4]",0.026,0.025
12.333999333999335,0.015,0.025,0.085,94,D:\Visao\Projeto1\Guido\grid_folhas_finais\ciclo1_inicial\grid_ciclo1_0094.png,"[14, 11, 4, 14, 12, 15, 9, 17, 17, 4]",0.026,0.025
12.484182484182485,0.01,0.035,0.085,42,D:\Visao\Projeto1\Guido\grid_folhas_finais\ciclo1_inicial\grid_ciclo1_0042.png,"[13, 12, 4, 15, 12, 15, 9, 19, 18, 4]",0.018,0.02
12.484182484182485,0.01,0.035,0.085,54,D:\Visao\Projeto1\Guido\grid_folhas_finais\ciclo1_inicial\grid_ciclo1_0054.png,"[13, 12, 4, 15, 12, 15, 9, 19, 18, 4]",0.018,0.025
