MAPE,caule_dx_frac_w,dup_dist_frac_h,grupo_dist_cap_h,idx,imagem,predicoes,stem_frag_w_frac,stem_narrow_w_frac
15.15023865023865,0.007,0.018,0.085,8,D:\Visao\Projeto1\Guido\grid_folhas_finais\ciclo2_refinado\grid_ciclo2_0008.png,"[14, 11, 4, 15, 12, 16, 10, 19, 17, 4]",0.016,0.023
15.15023865023865,0.007,0.018,0.09,9,D:\Visao\Projeto1\Guido\grid_folhas_finais\ciclo2_refinado\grid_ciclo2_0009.png,"[14, 11, 4, 15, 12, 16, 10, 19, 17, 4]",0.016,0.023
15.15023865023865,0.007,0.018,0.085,17,D:\Visao\Projeto1\Guido\grid_folhas_finais\ciclo2_refinado\grid_ciclo2_0017.png,"[14, 11, 4, 15, 12, 16, 10, 19, 17, 4]",0.018,0.023
15.15023865023865,0.007,0.018,0.09,18,D:\Visao\Projeto1\Guido\grid_folhas_finais\ciclo2_refinado\grid_ciclo2_0018.png,"[14, 11, 4, 15, 12, 16, 10, 19, 17, 4]",0.018,0.023
15.15023865023865,0.007,0.018,0.085,35,D:\Visao\Projeto1\Guido\grid_folhas_finais\ciclo2_refinado\grid_ciclo2_0035.png,"[14, 11, 4, 15, 12, 16, 10, 19, 17, 4]",0.016,0.025
15.15023865023865,0.007,0.018,0.09,36,D:\Visao\Projeto1\Guido\grid_folhas_finais\ciclo2_refinado\grid_ciclo2_0036.png,"[14, 11, 4, 15, 12, 16, 10, 19, 17, 4]",0.016,0.025
15.15023865023865,0.007,0.018,0.085,44,D:\Visao\Projeto1\Guido\grid_folhas_finais\ciclo2_refinado\grid_ciclo2_0044.png,"[14, 11, 4, 15, 12, 16, 10, 19, 17, 4]",0.018,0.025
15.15023865023865,0.007,0.018,0.09,45,D:\Visao\Projeto1\Guido\grid_folhas_finais\ciclo2_refinado\grid_ciclo2_0045.png,"[14, 11, 4, 15, 12, 16, 10, 19, 17, 4]",0.018,0.025
15.205183705183705,0.007,0.018,0.085,62,D:\Visao\Projeto1\Guido\grid_folhas_finais\ciclo2_refinado\grid_ciclo2_0062.png,"[14, 10, 4, 15, 12, 16, 10, 19, 16, 4]",0.016,0.027
15.205183705183705,0.007,0.018,0.09,63,D:\Visao\Projeto1\Guido\grid_folhas_finais\ciclo2_refinado\grid_ciclo2_0063.png,"[14, 10, 4, 15, 12, 16, 10, 19, 16, 4]",0.016,0.027
15.205183705183705,0.007,0.018,0.085,71,D:\Visao\Projeto1\Guido\grid_folhas_finais\ciclo2_refinado\grid_ciclo2_0071.png,"[14, 10, 4, 15, 12, 16, 10, 19, 16, 4]",0.018,0.027
15.205183705183705,0.007,0.018,0.09,72,D:\Visao\Projeto1\Guido\grid_folhas_finais\ciclo2_refinado\grid_ciclo2_0072.png,"[14, 10, 4, 15, 12, 16, 10, 19, 16, 4]",0.018,0.027
