MAPE,caule_dx_frac_w,dup_dist_frac_h,grupo_dist_cap_h,idx,imagem,predicoes,stem_frag_w_frac,stem_narrow_w_frac
8.736263736263735,0.011,0.032,0.1,191,D:/Visao/Projeto1/Guido/grid_folhas_finais_final/ciclo2_refinado_corrigido\grid_ciclo2_corrigido_0191.png,"[13, 12, 4, 13, 11, 16, 9, 15, 16, 4]",0.038,0.032
8.736263736263735,0.011,0.032,0.105,192,D:/Visao/Projeto1/Guido/grid_folhas_finais_final/ciclo2_refinado_corrigido\grid_ciclo2_corrigido_0192.png,"[13, 12, 4, 13, 11, 16, 9, 15, 16, 4]",0.038,0.032
8.736263736263735,0.011,0.032,0.1,200,D:/Visao/Projeto1/Guido/grid_folhas_finais_final/ciclo2_refinado_corrigido\grid_ciclo2_corrigido_0200.png,"[13, 12, 4, 13, 11, 16, 9, 15, 16, 4]",0.04,0.032
8.736263736263735,0.011,0.032,0.105,201,D:/Visao/Projeto1/Guido/grid_folhas_finais_final/ciclo2_refinado_corrigido\grid_ciclo2_corrigido_0201.png,"[13, 12, 4, 13, 11, 16, 9, 15, 16, 4]",0.04,0.032
8.736263736263735,0.011,0.032,0.1,209,D:/Visao/Projeto1/Guido/grid_folhas_finais_final/ciclo2_refinado_corrigido\grid_ciclo2_corrigido_0209.png,"[13, 12, 4, 13, 11, 16, 9, 15, 16, 4]",0.042,0.032
8.736263736263735,0.011,0.032,0.105,210,D:/Visao/Projeto1/Guido/grid_folhas_finais_final/ciclo2_refinado_corrigido\grid_ciclo2_corrigido_0210.png,"[13, 12, 4, 13, 11, 16, 9, 15, 16, 4]",0.042,0.032
8.736263736263735,0.011,0.032,0.1,218,D:/Visao/Projeto1/Guido/grid_folhas_finais_final/ciclo2_refinado_corrigido\grid_ciclo2_corrigido_0218.png,"[13, 12, 4, 13, 11, 16, 9, 15, 16, 4]",0.038,0.034
8.736263736263735,0.011,0.032,0.105,219,D:/Visao/Projeto1/Guido/grid_folhas_finais_final/ciclo2_refinado_corrigido\grid_ciclo2_corrigido_0219.png,"[13, 12, 4, 13, 11, 16, 9, 15, 16, 4]",0.038,0.034
8.736263736263735,0.011,0.032,0.1,227,D:/Visao/Projeto1/Guido/grid_folhas_finais_final/ciclo2_refinado_corrigido\grid_ciclo2_corrigido_0227.png,"[13, 12, 4, 13, 11, 16, 9, 15, 16, 4]",0.04,0.034
8.736263736263735,0.011,0.032,0.105,228,D:/Visao/Projeto1/Guido/grid_folhas_finais_final/ciclo2_refinado_corrigido\grid_ciclo2_corrigido_0228.png,"[13, 12, 4, 13, 11, 16, 9, 15, 16, 4]",0.04,0.034
