MAPE,caule_dx_frac_w,dup_dist_frac_h,grupo_dist_cap_h,idx,imagem,predicoes,stem_frag_w_frac,stem_narrow_w_frac
9.116605616605614,0.01,0.035,0.1,46,D:\Visao\Projeto1\Guido\grid_folhas_finais_v2\ciclo1_inicial\grid_ciclo1_0046.png,"[12, 12, 4, 13, 11, 15, 8, 16, 16, 4]",0.04,0.032
9.116605616605614,0.01,0.05,0.1,48,D:\Visao\Projeto1\Guido\grid_folhas_finais_v2\ciclo1_inicial\grid_ciclo1_0048.png,"[12, 12, 4, 13, 11, 15, 8, 16, 16, 4]",0.04,0.032
9.238761238761239,0.008,0.035,0.1,6,D:\Visao\Projeto1\Guido\grid_folhas_finais_v2\ciclo1_inicial\grid_ciclo1_0006.png,"[12, 10, 4, 14, 12, 15, 9, 16, 15, 4]",0.04,0.02
9.238761238761239,0.008,0.05,0.1,8,D:\Visao\Projeto1\Guido\grid_folhas_finais_v2\ciclo1_inicial\grid_ciclo1_0008.png,"[12, 10, 4, 14, 12, 15, 9, 16, 15, 4]",0.04,0.02
9.238761238761239,0.008,0.035,0.1,14,D:\Visao\Projeto1\Guido\grid_folhas_finais_v2\ciclo1_inicial\grid_ciclo1_0014.png,"[12, 10, 4, 14, 12, 15, 9, 16, 15, 4]",0.04,0.025
9.238761238761239,0.008,0.05,0.1,16,D:\Visao\Projeto1\Guido\grid_folhas_finais_v2\ciclo1_inicial\grid_ciclo1_0016.png,"[12, 10, 4, 14, 12, 15, 9, 16, 15, 4]",0.04,0.025
9.525696525696524,0.01,0.035,0.1,30,D:\Visao\Projeto1\Guido\grid_folhas_finais_v2\ciclo1_inicial\grid_ciclo1_0030.png,"[12, 12, 4, 14, 12, 15, 8, 16, 16, 4]",0.04,0.02
9.525696525696524,0.01,0.05,0.1,32,D:\Visao\Projeto1\Guido\grid_folhas_finais_v2\ciclo1_inicial\grid_ciclo1_0032.png,"[12, 12, 4, 14, 12, 15, 8, 16, 16, 4]",0.04,0.02
9.525696525696524,0.01,0.035,0.1,38,D:\Visao\Projeto1\Guido\grid_folhas_finais_v2\ciclo1_inicial\grid_ciclo1_0038.png,"[12, 12, 4, 14, 12, 15, 8, 16, 16, 4]",0.04,0.025
9.525696525696524,0.01,0.05,0.1,40,D:\Visao\Projeto1\Guido\grid_folhas_finais_v2\ciclo1_inicial\grid_ciclo1_0040.png,"[12, 12, 4, 14, 12, 15, 8, 16, 16, 4]",0.04,0.025
9.598901098901099,0.008,0.035,0.1,22,D:\Visao\Projeto1\Guido\grid_folhas_finais_v2\ciclo1_inicial\grid_ciclo1_0022.png,"[12, 9, 4, 13, 11, 15, 9, 16, 15, 4]",0.04,0.032
9.598901098901099,0.008,0.05,0.1,24,D:\Visao\Projeto1\Guido\grid_folhas_finais_v2\ciclo1_inicial\grid_ciclo1_0024.png,"[12, 9, 4, 13, 11, 15, 9, 16, 15, 4]",0.04,0.032
9.94993894993895,0.01,0.035,0.085,45,D:\Visao\Projeto1\Guido\grid_folhas_finais_v2\ciclo1_inicial\grid_ciclo1_0045.png,"[13, 12, 4, 13, 11, 15, 8, 16, 16, 4]",0.04,0.032
9.94993894993895,0.01,0.05,0.085,47,D:\Visao\Projeto1\Guido\grid_folhas_finais_v2\ciclo1_inicial\grid_ciclo1_0047.png,"[13, 12, 4, 13, 11, 15, 8, 16, 16, 4]",0.04,0.032
10.072094572094572,0.008,0.035,0.085,5,D:\Visao\Projeto1\Guido\grid_folhas_finais_v2\ciclo1_inicial\grid_ciclo1_0005.png,"[13, 10, 4, 14, 12, 15, 9, 16, 15, 4]",0.04,0.02
10.072094572094572,0.008,0.05,0.085,7,D:\Visao\Projeto1\Guido\grid_folhas_finais_v2\ciclo1_inicial\grid_ciclo1_0007.png,"[13, 10, 4, 14, 12, 15, 9, 16, 15, 4]",0.04,0.02
10.072094572094572,0.008,0.035,0.085,13,D:\Visao\Projeto1\Guido\grid_folhas_finais_v2\ciclo1_inicial\grid_ciclo1_0013.png,"[13, 10, 4, 14, 12, 15, 9, 16, 15, 4]",0.04,0.025
10.072094572094572,0.008,0.05,0.085,15,D:\Visao\Projeto1\Guido\grid_folhas_finais_v2\ciclo1_inicial\grid_ciclo1_0015.png,"[13, 10, 4, 14, 12, 15, 9, 16, 15, 4]",0.04,0.025
