MAPE,caule_dx_frac_w,dup_dist_frac_h,grupo_dist_cap_h,idx,imagem,predicoes,stem_frag_w_frac,stem_narrow_w_frac
9.238761238761239,0.008,0.035,0.1,45,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0045.png,"[12, 10, 4, 14, 12, 15, 9, 16, 15, 4]",0.04,0.02
9.238761238761239,0.008,0.05,0.1,48,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0048.png,"[12, 10, 4, 14, 12, 15, 9, 16, 15, 4]",0.04,0.02
9.238761238761239,0.008,0.035,0.1,93,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0093.png,"[12, 10, 4, 14, 12, 15, 9, 16, 15, 4]",0.04,0.025
9.238761238761239,0.008,0.05,0.1,96,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0096.png,"[12, 10, 4, 14, 12, 15, 9, 16, 15, 4]",0.04,0.025
9.598901098901099,0.008,0.035,0.1,189,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0189.png,"[12, 9, 4, 13, 11, 15, 9, 16, 15, 4]",0.04,0.035
9.598901098901099,0.008,0.05,0.1,192,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0192.png,"[12, 9, 4, 13, 11, 15, 9, 16, 15, 4]",0.04,0.035
9.598901098901099,0.008,0.035,0.1,237,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0237.png,"[12, 9, 4, 13, 11, 15, 9, 16, 15, 4]",0.04,0.04
9.598901098901099,0.008,0.05,0.1,240,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0240.png,"[12, 9, 4, 13, 11, 15, 9, 16, 15, 4]",0.04,0.04
10.072094572094572,0.008,0.035,0.085,44,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0044.png,"[13, 10, 4, 14, 12, 15, 9, 16, 15, 4]",0.04,0.02
10.072094572094572,0.008,0.05,0.085,47,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0047.png,"[13, 10, 4, 14, 12, 15, 9, 16, 15, 4]",0.04,0.02
10.072094572094572,0.008,0.035,0.085,92,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0092.png,"[13, 10, 4, 14, 12, 15, 9, 16, 15, 4]",0.04,0.025
10.072094572094572,0.008,0.05,0.085,95,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0095.png,"[13, 10, 4, 14, 12, 15, 9, 16, 15, 4]",0.04,0.025
10.432234432234432,0.008,0.035,0.085,188,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0188.png,"[13, 9, 4, 13, 11, 15, 9, 16, 15, 4]",0.04,0.035
10.432234432234432,0.008,0.05,0.085,191,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0191.png,"[13, 9, 4, 13, 11, 15, 9, 16, 15, 4]",0.04,0.035
10.432234432234432,0.008,0.035,0.085,236,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0236.png,"[13, 9, 4, 13, 11, 15, 9, 16, 15, 4]",0.04,0.04
10.432234432234432,0.008,0.05,0.085,239,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0239.png,"[13, 9, 4, 13, 11, 15, 9, 16, 15, 4]",0.04,0.04
10.507992007992009,0.008,0.035,0.1,141,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0141.png,"[12, 9, 4, 13, 12, 15, 9, 16, 15, 4]",0.04,0.03
10.507992007992009,0.008,0.05,0.1,144,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0144.png,"[12, 9, 4, 13, 12, 15, 9, 16, 15, 4]",0.04,0.03
10.777222777222777,0.008,0.035,0.1,33,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0033.png,"[12, 10, 4, 14, 12, 15, 9, 18, 15, 4]",0.032,0.02
10.777222777222777,0.008,0.05,0.1,36,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0036.png,"[12, 10, 4, 14, 12, 15, 9, 18, 15, 4]",0.032,0.02
10.777222777222777,0.008,0.035,0.1,81,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0081.png,"[12, 10, 4, 14, 12, 15, 9, 18, 15, 4]",0.032,0.025
10.777222777222777,0.008,0.05,0.1,84,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0084.png,"[12, 10, 4, 14, 12, 15, 9, 18, 15, 4]",0.032,0.025
11.137362637362639,0.008,0.035,0.1,165,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0165.png,"[12, 9, 4, 13, 11, 15, 9, 18, 15, 4]",0.026,0.035
11.137362637362639,0.008,0.05,0.1,168,D:/Visao/Projeto1/Guido/grid_folhas_probe\probe_0168.png,"[12, 9, 4, 13, 11, 15, 9, 18, 15, 4]",0.026,0.035
