nome,MAPE,pred,corte_altura,h_min,h_max,s_min,v_min,close_kernel,open_kernel,open_iter,n_faixas,eixo_janela,min_comp_frac_h,caule_vertical_max,caule_dist_frac_w,caule_dx_frac_w,caule_dy_dx,caule_dy_frac_h,grupo_ang_max,grupo_dist_base_h,grupo_dist_n,grupo_dist_cap_h,grupo_alinh_frac_h,grupo_dy_frac_h,dup_dist_frac_h,stem_cand_w_frac,stem_cand_dens,stem_cand_x_min,stem_cand_x_max,stem_narrow_w_frac,stem_narrow_dens,stem_narrow_center_frac,stem_frag_w_frac,stem_frag_h_frac,stem_frag_center_frac
baseline,12.741758241758241,"[13, 11, 4, 14, 11, 16, 9, 18, 18, 4]",0.64,18,96,38,38,7,3,1,26,120,0.003,25.0,0.014,0.015,1.25,0.018,42.0,0.06,0.26,0.085,0.022,0.12,0.035,0.035,1.25,0.35,0.65,0.032,1.15,0.025,0.018,0.04,0.03
sens_frag_menor,12.741758241758241,"[13, 11, 4, 14, 11, 16, 9, 18, 18, 4]",0.64,18,96,38,38,7,3,1,26,120,0.003,25.0,0.014,0.015,1.25,0.018,42.0,0.06,0.26,0.085,0.022,0.12,0.035,0.035,1.25,0.35,0.65,0.032,1.15,0.025,0.01,0.03,0.03
restr_frag_maior,13.24175824175824,"[13, 11, 4, 13, 11, 16, 9, 18, 18, 4]",0.64,18,96,38,38,7,3,1,26,120,0.003,25.0,0.014,0.015,1.25,0.018,42.0,0.06,0.26,0.085,0.022,0.12,0.035,0.035,1.25,0.35,0.65,0.032,1.15,0.025,0.022,0.05,0.03
seg_restrita,13.782661782661782,"[13, 11, 4, 13, 11, 19, 11, 16, 15, 4]",0.64,20,96,42,38,7,3,1,26,120,0.004,25.0,0.014,0.015,1.25,0.018,42.0,0.06,0.26,0.085,0.022,0.12,0.035,0.035,1.25,0.35,0.65,0.032,1.15,0.025,0.018,0.04,0.03
agrupa_mais,17.744255744255742,"[13, 8, 4, 9, 10, 14, 9, 18, 17, 4]",0.64,18,96,38,38,7,3,1,26,120,0.003,25.0,0.014,0.015,1.25,0.018,50.0,0.06,0.26,0.1,0.022,0.12,0.035,0.035,1.25,0.35,0.65,0.032,1.15,0.025,0.018,0.04,0.03
sens_sem_split,18.34865134865135,"[14, 9, 4, 12, 10, 17, 9, 17, 20, 4]",0.64,16,96,34,38,7,3,1,26,120,0.0022,25.0,0.014,0.015,1.25,0.018,42.0,0.06,0.26,0.085,0.022,0.12,0.035,0.035,1.25,0.35,0.65,0.032,1.15,0.025,0.01,0.03,0.03
sens_segmentacao,20.228993228993225,"[14, 8, 4, 12, 10, 17, 8, 17, 20, 4]",0.64,16,96,34,38,7,3,1,26,120,0.0022,25.0,0.014,0.015,1.25,0.018,42.0,0.06,0.26,0.085,0.022,0.12,0.035,0.035,1.25,0.35,0.65,0.032,1.15,0.025,0.018,0.04,0.03
split_sem_seg,23.843711843711848,"[15, 10, 4, 15, 11, 18, 16, 19, 17, 4]",0.64,18,96,38,38,7,3,1,26,120,0.003,25.0,0.014,0.015,1.25,0.018,34.0,0.06,0.26,0.07,0.022,0.12,0.035,0.035,1.25,0.35,0.65,0.032,1.15,0.025,0.014,0.03,0.03
split_grupo,24.612942612942614,"[15, 9, 4, 15, 11, 18, 16, 19, 17, 4]",0.64,18,96,38,38,7,3,1,26,120,0.003,25.0,0.014,0.015,1.25,0.018,34.0,0.06,0.26,0.07,0.022,0.12,0.035,0.035,1.25,0.35,0.65,0.032,1.15,0.025,0.018,0.04,0.03
sens_total,33.852369852369854,"[18, 10, 6, 14, 13, 19, 13, 19, 21, 4]",0.64,16,96,34,38,7,3,1,26,120,0.0022,25.0,0.014,0.015,1.25,0.018,34.0,0.06,0.26,0.07,0.022,0.12,0.035,0.035,1.25,0.35,0.65,0.032,1.15,0.025,0.01,0.03,0.03
