corte_altura,h_min,h_max,s_min,v_min,close_kernel,open_kernel,open_iter,n_faixas,eixo_janela,min_comp_frac_h,caule_vertical_max,caule_dist_frac_w,caule_dx_frac_w,caule_dy_dx,caule_dy_frac_h,grupo_ang_max,grupo_dist_base_h,grupo_dist_n,grupo_dist_cap_h,grupo_alinh_frac_h,grupo_dy_frac_h,dup_dist_frac_h,stem_cand_w_frac,stem_cand_dens,stem_cand_x_min,stem_cand_x_max,stem_narrow_w_frac,stem_narrow_dens,stem_narrow_center_frac,stem_frag_w_frac,stem_frag_h_frac,stem_frag_center_frac,MAPE Nro Folhas,predicoes,imagens
0.64,18,96,38,38,7,3,1,26,120,0.003,25.0,0.014,0.01,1.25,0.018,42.0,0.06,0.26,0.085,0.022,0.12,0.035,0.035,1.25,0.35,0.65,0.032,1.15,0.025,0.018,0.04,0.03,12.075091575091577,"[13, 12, 4, 14, 11, 15, 9, 19, 18, 4]",D:/Visao/Projeto1/Guido/otimizacao_folhas\rank01_h18_s38_op3_min0.0030_fw0.018_fh0.040_ga42_gc0.085
0.64,18,96,38,38,7,3,1,26,120,0.003,25.0,0.014,0.015,1.25,0.018,42.0,0.06,0.26,0.085,0.022,0.12,0.06,0.035,1.25,0.35,0.65,0.032,1.15,0.025,0.018,0.04,0.03,12.677655677655677,"[12, 10, 4, 14, 11, 16, 9, 18, 18, 4]",D:/Visao/Projeto1/Guido/otimizacao_folhas\rank02_h18_s38_op3_min0.0030_fw0.018_fh0.040_ga42_gc0.085
0.64,18,96,38,38,7,3,1,26,120,0.003,25.0,0.014,0.015,1.25,0.018,42.0,0.06,0.26,0.085,0.022,0.12,0.035,0.035,1.25,0.35,0.65,0.032,1.15,0.025,0.018,0.04,0.03,12.741758241758241,"[13, 11, 4, 14, 11, 16, 9, 18, 18, 4]",D:/Visao/Projeto1/Guido/otimizacao_folhas\rank03_h18_s38_op3_min0.0030_fw0.018_fh0.040_ga42_gc0.085
0.64,18,96,38,38,7,3,1,26,120,0.003,25.0,0.014,0.015,1.25,0.018,42.0,0.06,0.26,0.085,0.022,0.12,0.035,0.035,1.25,0.35,0.65,0.032,1.15,0.025,0.01,0.03,0.03,12.741758241758241,"[13, 11, 4, 14, 11, 16, 9, 18, 18, 4]",D:/Visao/Projeto1/Guido/otimizacao_folhas\rank04_h18_s38_op3_min0.0030_fw0.010_fh0.030_ga42_gc0.085
0.64,18,96,38,38,7,3,1,26,120,0.003,25.0,0.014,0.015,1.25,0.018,42.0,0.06,0.26,0.085,0.022,0.12,0.035,0.035,1.25,0.35,0.65,0.032,1.15,0.025,0.022,0.05,0.03,13.24175824175824,"[13, 11, 4, 13, 11, 16, 9, 18, 18, 4]",D:/Visao/Projeto1/Guido/otimizacao_folhas\rank05_h18_s38_op3_min0.0030_fw0.022_fh0.050_ga42_gc0.085
0.64,18,96,38,38,7,3,1,26,120,0.003,25.0,0.008,0.01,1.25,0.018,42.0,0.06,0.26,0.085,0.022,0.12,0.035,0.035,1.25,0.35,0.65,0.032,1.15,0.025,0.018,0.04,0.03,13.741758241758243,"[15, 12, 4, 14, 11, 15, 9, 19, 18, 4]",D:/Visao/Projeto1/Guido/otimizacao_folhas\rank06_h18_s38_op3_min0.0030_fw0.018_fh0.040_ga42_gc0.085
0.64,20,96,42,38,7,3,1,26,120,0.004,25.0,0.014,0.015,1.25,0.018,42.0,0.06,0.26,0.085,0.022,0.12,0.035,0.035,1.25,0.35,0.65,0.032,1.15,0.025,0.018,0.04,0.03,13.782661782661782,"[13, 11, 4, 13, 11, 19, 11, 16, 15, 4]",D:/Visao/Projeto1/Guido/otimizacao_folhas\rank07_h20_s42_op3_min0.0040_fw0.018_fh0.040_ga42_gc0.085
0.64,18,96,38,38,7,3,1,26,120,0.003,25.0,0.014,0.015,1.25,0.018,42.0,0.06,0.26,0.085,0.022,0.12,0.035,0.035,1.25,0.35,0.65,0.02,1.15,0.015,0.01,0.04,0.015,14.086746586746587,"[13, 11, 4, 16, 12, 17, 9, 19, 18, 4]",D:/Visao/Projeto1/Guido/otimizacao_folhas\rank08_h18_s38_op3_min0.0030_fw0.010_fh0.040_ga42_gc0.085
0.64,18,96,38,38,7,3,1,26,120,0.003,25.0,0.008,0.015,1.25,0.018,42.0,0.06,0.26,0.085,0.022,0.12,0.035,0.035,1.25,0.35,0.65,0.032,1.15,0.025,0.018,0.04,0.03,16.716117216117215,"[15, 8, 4, 14, 11, 16, 9, 18, 18, 4]",
0.64,18,96,38,38,7,3,1,26,120,0.003,25.0,0.008,0.01,1.25,0.018,42.0,0.06,0.26,0.085,0.022,0.12,0.035,0.035,1.25,0.35,0.65,0.02,1.15,0.015,0.01,0.04,0.015,17.254023754023756,"[15, 12, 4, 16, 12, 16, 11, 19, 19, 4]",
0.64,18,96,38,38,7,3,1,26,120,0.003,25.0,0.014,0.015,1.25,0.018,50.0,0.06,0.26,0.1,0.022,0.12,0.035,0.035,1.25,0.35,0.65,0.032,1.15,0.025,0.018,0.04,0.03,17.744255744255742,"[13, 8, 4, 9, 10, 14, 9, 18, 17, 4]",
0.64,16,96,34,38,7,3,1,26,120,0.0022,25.0,0.014,0.015,1.25,0.018,42.0,0.06,0.26,0.085,0.022,0.12,0.035,0.035,1.25,0.35,0.65,0.032,1.15,0.025,0.01,0.03,0.03,18.34865134865135,"[14, 9, 4, 12, 10, 17, 9, 17, 20, 4]",
0.64,18,96,38,38,7,3,1,26,120,0.003,25.0,0.014,0.015,1.25,0.018,42.0,0.06,0.26,0.085,0.035,0.12,0.06,0.035,1.25,0.35,0.65,0.032,1.15,0.025,0.018,0.04,0.03,19.918303918303916,"[10, 9, 4, 9, 9, 13, 8, 14, 17, 3]",
0.64,16,96,34,38,7,3,1,26,120,0.0022,25.0,0.014,0.015,1.25,0.018,42.0,0.06,0.26,0.085,0.022,0.12,0.035,0.035,1.25,0.35,0.65,0.032,1.15,0.025,0.018,0.04,0.03,20.228993228993225,"[14, 8, 4, 12, 10, 17, 8, 17, 20, 4]",
0.64,20,96,42,38,7,3,1,26,120,0.004,25.0,0.008,0.01,1.25,0.018,42.0,0.06,0.26,0.085,0.022,0.12,0.035,0.035,1.25,0.35,0.65,0.02,1.15,0.015,0.01,0.04,0.015,20.64291264291264,"[14, 12, 4, 16, 12, 19, 13, 19, 19, 4]",
